"districtlea","district_name","county_name","shortage_status","retention_prepandemic_pct","retention_recent_pct","retention_change_pp"
"7307000","Riverview School District","White County","Not Shortage",84.2,75.4,-8.8
"7309000","Pangburn School District","White County","Not Shortage",87.7,88.4,0.7
"7310000","Rose Bud School District","White County","Not Shortage",85.9,85.3,-0.6
"7311000","Searcy School District","White County","Not Shortage",89.1,84,-5.1
"7401000","Augusta School District","Woodruff County","Shortage",66.8,66.5,-0.3
"7403000","McCrory School District","Woodruff County","Not Shortage",86.4,80,-6.4
"7503000","Danville School District","Yell County","Not Shortage",81.6,87.2,5.7
"7504000","Dardanelle Public Schools","Yell County","Not Shortage",90.8,87.8,-3
"7509000","Western Yell County School District","Yell County","Not Shortage",77.2,80.6,3.4
"7510000","Two Rivers School District","Yell County","Not Shortage",82.9,79.5,-3.4
